Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775386606,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775386607,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775386608,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775386609,15,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,172.16369998641312,172.16369998641312,172.16369998641312,172.16369998641312,15.0
1775386610,25,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,172.16369998641312,172.16369998641312,172.16369998641312,172.16369998641312,15.0
1775386611,30,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,172.16369998641312,172.16369998641312,172.16369998641312,172.16369998641312,15.0
1775386612,35,,Aggregated,0.250000,0.000000,2700,2700,5800,5800,5800,5800,5800,5800,5800,5800,5800,4,0,240,2226.6776249744,172.16369998641312,5799.939099932089,110.25
1775386613,40,,Aggregated,0.200000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,13,0,2300,2862.0646230679436,172.16369998641312,6871.186100062914,182.07692307692307
1775386614,45,,Aggregated,0.200000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,13,0,2300,2862.0646230679436,172.16369998641312,6871.186100062914,182.07692307692307
1775386615,50,,Aggregated,0.200000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,13,0,2300,2862.0646230679436,172.16369998641312,6871.186100062914,182.07692307692307
1775386617,50,,Aggregated,1.625000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,14,0,2200,2702.6475357041427,172.16369998641312,6871.186100062914,170.14285714285714
1775386618,50,,Aggregated,1.625000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,14,0,2200,2702.6475357041427,172.16369998641312,6871.186100062914,170.14285714285714
1775386619,50,,Aggregated,1.625000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,14,0,2200,2702.6475357041427,172.16369998641312,6871.186100062914,170.14285714285714
1775386620,50,,Aggregated,1.625000,0.000000,2300,3000,5800,6500,6900,6900,6900,6900,6900,6900,6900,14,0,2200,2702.6475357041427,172.16369998641312,6871.186100062914,170.14285714285714
